english|french
'beedy-eye' jones|« Beedy-eye » Jones
'beefy' burns|« Beefy » Burns
'betty' b.boppin|« Betty » B.Boppin
'birds-eye' jack|« Birds-Eye » Jack
'black-eye'|« Black-eye »
'currency' the alchemist|« Currency » L'Alchimiste
'eagle-eye' shultz|« Eagle-eye » Shultz
'gummy'|« Gummy »
'lecherous' lee|« Lecherous » Lee
'no fingers'|« No fingers »
'picarron' pete|« Picarron » Pete
'squawking' steve beanie|« Squawking » Steve Beanie
'sticky' sanders|« Sticky » Sanders
'the guns'|« The Guns »
'transmute' the alchemist|« Transmute » The Alchemist
1337sp34kr|1337sp34kr
1v1 tournament guide|Guide du tournoi 1v1
50% luke|50 % Luke?
? ? ? ?|? ? ?
a corpse|A corpse
a doubt|A Doubt
a floating table|Une table flottante
a pile of broken glass|Un tas de verre brisé
a'abla|A'abla
abbot langley|Abbé Langley
aberab|Aberab
aberrant spectre|Spectre aberrant
abhorrent spectre|Spectre abominable
abidor crank|Abidor Crank
abigaila|Abigaila
abigale|Abigale
abomination|Abomination
abyssal antibody|Anticorps abyssal
abyssal axon|Axon abyssal
abyssal demon|Démon abyssal
abyssal guardian|Gardien abyssal
abyssal leech|Sangsue abyssale
abyssal orphan|Orphelin abyssal
abyssal pathfinder|Explorateur abyssal
abyssal portal|Portail abyssal
abyssal protector|Protecteur abyssal
abyssal sire|Seigneur abyssal
abyssal walker|Marcheur abyssal
academic|Académique
acatzin|Acatzin
account guide|Guide du compte
account security tutor|Tutoriel sur la sécurité du compte
achietties|Achietties
achilka|Achilka
achtryn|Achtryn
acidic araxyte|Araxyte acide
acidic bloodveld|Bloodveld acide
acorn|Gland
adala|Adala
adamant dragon|Dragon adamantin
adamantite ore|Minerai d'adamantite
adrinus|Adrinus
adrius|Adrius
adventurer|Aventurier
adventurer ada|Aventurière Ada
adventurer jon|Aventurier Jon
advisor|Conseiller
advisor ghrim|Conseiller Ghrim
aemad|Aemad
aemilia|Aemilia
aeonisig raispher|Aeonisig Raispher
afflicted|Affligé
afrah|Afrah
aga|Aga
agelus|Agelus
aggie|Aggie
agile scarab|Scarabée agile
agile warrior|Guerrier agile
agility boss|Boss d'agilité
agility instructor|Instructeur d'agilité
agility trainer|Entraîneur d'agilité
agitated bees|Abeilles agitées
agmundi|Agmundi
agnar|Agnar
agrith naar|Agrith Naar
agrith-na-na|Agrith-Na-Na
ahab|Ahab
ahrim the blighted|Ahrim le Fléau
air elemental|Élémentaire d'air
air wizard|Sorcier de l'air
aisles|Allées
aivas|Aivas
ajjat|Ajjat
ak-haranu|Ak-Haranu
akkha|Akkha
akkha's phantom|Fantôme d'Akkha
akkha's shadow|Ombre d'Akkha
akrisae|Akrisae
akthanakos|Akthanakos
al kharid warrior|Guerrier d'Al Kharid
al shabim|Al Shabim
al the camel|Al le Chameau
alain|Alain
alan|Alan
alaxxi|Alaxxi
alba|Alba
albatross|Albatros
albino bat|Chauve-souris albinos
alchemical hydra|Hydre alchimique
alchemy guardian|Gardien de l'alchimie
alec kincade|Alec Kincade
aleck|Aleck
alek constantine|Alek Constantine
alexander|Alexander
alexandra|Alexandra
alexis|Alexis
alfonse the waiter|Alfonse le serveur
ali morrisane|Ali Morrisane
ali the barman|Ali le barman
ali the camel|Ali le chameau
ali the camel man|Ali le chamelier
ali the carter|Ali le charretier
ali the dyer|Ali le teinturier
ali the farmer|Ali le fermier
ali the guard|Ali le garde
ali the hag|Ali la sorcière
ali the kebab seller|Ali le vendeur de kebabs
ali the leaflet dropper|Ali le distributeur de tracts
ali the mayor|Ali le maire
ali the operator|Ali l'opérateur
ali the smith|Ali le forgeron
ali the snake charmer|Ali le charmeur de serpents
ali the tailor|Ali le tailleur
ali the tea seller|Ali le vendeur de thé
alice|Alice
alice the camel|Alice la chamelle
alina|Alina
allanna|Allanna
almera|Almera
alomone|Alomone
alpaca|Alpaga
alpaca cria|Bébé alpaga
alrena|Alrena
alrik|Alrik
alry the angler|Alry le pêcheur
altarkiz|Altarkiz
aluft gianne snr.|Aluft Gianne snr.
alvarg|Alvarg
alviss|Alviss
alwyn|Alwyn
alyssa|Alyssa
amascut|Amascut
ambassador alvijar|Ambassadeur Alvijar
ambassador ferrnook|Ambassadeur Ferrnook
ambassador gimblewap|Ambassadeur Gimblewap
ambassador spanfipple|Ambassadeur Spanfipple
amelia|Amelia
ameyalli|Ameyalli
amma|Amma
ammonite crab|Crabe ammonite
ammunition crate|Caisse de munitions
amos|Amos
amoxliatl|Amoxliatl
amrod|Amrod
amy|Amy
ana|Ana
ana in a barrel|Ana dans un tonneau
anaire|Anaire
ancestral glyph|Glyphe ancestral
ancient custodian|Ancien gardien
ancient ghost|Ancien fantôme
ancient guardian|Ancien gardien
ancient monkey|Ancien singe
ancient wizard|Ancien sorcier
ancient wyvern|Ancien wyvern
ancient zygomite|Ancien zygomite
andiess juip|Andiess Juip
andras|Andras
andrea|Andrea
andros mai|Andros Mai
aneirin|Aneirin
angel|Ange
angelo|Angelo
angry barbarian spirit|Esprit barbare en colère
angry bear|Ours en colère
angry giant rat|Rat géant en colère
angry goblin|Gobelin en colère
angry tortugan|Tortugan en colère
angry unicorn|Licorne en colère
animated adamant armour|Armure adamantine animée
animated black armour|Armure noire animée
animated bronze armour|Armure de bronze animée
animated egg|Œuf animé
animated iron armour|Armure de fer animée
animated mithril armour|Armure de mithril animée
animated rune armour|Armure runique animée
animated spade|Pelle animée
animated steel armour|Armure d'acier animée
anita|Anita
anja|Anja
ankou|Ankou
anleif|Anleif
anna|Anna
anna jones|Anna Jones
anne|Anne
anne isaakson|Anne Isaakson
annette|Annette
annie|Annie
anteater|Fourmilier
anti-santa|Anti-Père Noël
anton|Anton
antonia|Antonia
antonius|Antonius
antos|Antos
anwen|Anwen
apmeken|Apmeken
apothecary|Apothicaire
apparition|Apparition
apprentice|Apprenti
apprentice cordelia|Apprenti Cordelia
apprentice felix|Apprenti Felix
apprentice tamara|Apprenti Tamara
apprentice workman|Apprenti ouvrier
aquanite|Aquanite
arancini|Arancini
aranwe|Aranwe
araxxor|Araxxor
araxyte|Araxyte
arc test|Test d'arc
arcane scarab|Scarabée arcanique
archeio|Archeio
archer|Archer
archibald|Archibald
archmage sedridor|Archimage Sedridor
archpriest of the unicorn|Grand prêtre de la Licorne
arcis|Arcis
arcuani|Arcuani
aredhel|Aredhel
arena guard beni|Garde de l'arène Beni
arena guard drakno|Garde de l'arène Drakno
arena guard fawry|Garde de l'arène Fawry
arena guard fronk|Garde de l'arène Fronk
arena guard joby|Garde de l'arène Joby
arena guard nikkolas|Garde de l'arène Nikkolas
arena guard rachi|Garde de l'arène Rachi
arena guard yon|Garde de l'arène Yon
aretha|Aretha
argenthorg|Argenthorg
argo|Argo
arhein|Arhein
arianwyn|Arianwyn
aris|Aris
aristarchus|Aristarchus
armadylean guard|Garde armadyléen
armod|Armod
armour salesman|Vendeur d'armures
armoured foe|Ennemi blindé
armoured kraken|Kraken blindé
armoured zombie|Zombie blindé
armourer|Armurier
army commander|Commandant de l'armée
arnkel|Arnkel
arno|Arno
arnold lydspor|Arnold Lydspor
arnor|Arnor
arrav|Arrav
arrg|Arrg
arsen the thief|Arsen le voleur
art|Art
art critic jacques|Critique d'art Jacques
arthur the clue hunter|Arthur le chasseur d'indices
artima|Artima
artimeus|Artimeus
artio|Artio
artur hosidius|Artur Hosidius
arvel|Arvel
arzinian avatar of magic|Avatar arzinien de la magie
arzinian avatar of ranging|Avatar arzinien du tir à distance
arzinian avatar of strength|Avatar arzinien de la force
arzinian being of bordanzan|Être arzinien de Bordanzan
asgarnia smith|Asgarnia Smith
ash|Ash
ashild|Ashild
ashuelot reis|Ashuelot Reis
askeladden|Askeladden
assassin|Assassin
assistant|Assistant
assistant brock|Assistant Brock
assistant le smith|Assistant Le Smith
assistant lori|Assistant Lori
assistant marrow|Assistant Marrow
assistant serf|Assistant Serf
assistant stan|Assistant Stan
asteros arceuus|Asteros Arceuus
asyff|Asyff
asyn shade|Asyn Shade
asyn shadow|Asyn shadow
atlas|Atlas
attala|Attala
atza|Atza
aub|Aub
aubury|Aubury
auctioneer|Commissaire-priseur
audmann|Audmann
auguste|Auguste
aurel|Aurel
aurelia|Aurelia
austri|Austri
autumn elemental|Élémentaire d'automne
ava|Ava
avan|Avan
avatar of creation|Avatar de la création
avatar of destruction|Avatar de la Destruction
aven|Aven
aviansie|Aviansie
avinia|Avinia
awakened altar|Autel éveillé
awowogei|Awowogei
awusah the mayor|Awusah, le maire
aya|Aya
ayesha|Ayesha
azzanadra|Azzanadra
ba-ba|Ba-Ba
ba-ba's phantom|Fantôme de Ba-Ba
baba yaga|Baba Yaga
baboon|Babouin
baboon brawler|Babouin bagarreur
baboon mage|Babouin mage
baboon shaman|Babouin chaman
baboon thrall|Babouin esclave
baboon thrower|Babouin lanceur
baby black dragon|Bébé dragon noir
baby blue dragon|Bébé dragon bleu
baby chinchompa|Bébé chinchompa
baby custodian stalker|Bébé gardien traqueur
baby green dragon|Bébé dragon vert
baby impling|Bébé impling
baby leviathan|Bébé léviathan
baby mole|Bébé taupe
baby red dragon|Bébé dragon rouge
baby roc|Bébé Roc
baby sea kraken|Bébé kraken marin
baby tanglefoot|Bébé tanglefoot
badger|Blaireau
bailey|Bailey
baker|Boulanger
bakuna|Bakuna
balance elemental|Élémentaire de l'équilibre Levele Magie
bald headed eagle|Aigle à tête chauve
balfrug kreeyath|Balfrug Kreeyath
ball boy|Garçon de balle Levele Midsummer
balloon animal|Animal en ballon Levele Chat
balloon toad|Crapaud en ballon
banana|Banane
bandit|Bandit
bandit champion|Champion bandit
bandit leader|Chef bandit
bandit shopkeeper|Commerçant bandit
bandosian guard|Garde bandosien
banisoch|Banisoch
bank buffalo|Buffle de banque
bank guard|Garde de banque
banker|Banquier
banker tutor|Tuteur banquier
banknote exchange merchant|Marchand changeur de billets
banshee|Banshee
baraek|Baraek sous la montagne de glace
barb|Barb
barb-tailed kebbit|Kebbit à queue barbue
barbara|Barbara
barbarian|Barbare
barbarian bartender|Barman barbare
barbarian guard|Garde barbare
barbarian warlord|Chef de guerre barbare
bard|Barde
bardur|Bardur
barfy bill|Barfy Bill
barge foreman|Contremaître de péniche
barge guard|Garde de péniche
barge workman|Ouvrier de péniche
bark blamish snail|Bark Blamish Snail
barker|Barker
barlak|Barlak
barmaid|Barmaid
barman|Barman
barnabus hurma|Barnabus Hurma
baron|Baron
barrelchest|Barrelchest
barricade|Barricade
bartak|Bartak
bartender|Barman
barus|Barus
basilisk|Basilic
basilisk knight|Chevalier basilic
basilisk sentinel|Sentinelle basilic
basilisk youngling|Jeune basilic
bast|Bast
bat|Chauve-souris
batt mellamy|Batt Mellamy
battle mage|Mage de combat
battle tortoise display|Tortue de combat
bear cub|Ourson
bearded gorilla|Gorille barbu
beaver|Castor
bedabin nomad|Nomade Bedabin
bedabin nomad fighter|Combattant nomade Bedabin
bedabin nomad guard|Garde nomade Bedabin
bedread the bold|Bedread l'audacieux
bee keeper|Apiculteur
bee swarm|Essaim d'abeilles
bees|Abeilles
bees!|Abeilles !
beggar|Mendiant
beigarth|Beigarth
beite|Beite
bella le bowle|Bella Le Bowle
belle|Belle
bellemorde|Bellemorde
belona|Belona
bench|Banc
benjamin|Benjamin
benny|Benny
bentamir|Bentamir
bernald|Bernald
bernard|Bernard
berry|Berry
berserk barbarian spirit|Esprit barbare berserk
bert|Bert
bethan|Bethan
betty|Betty
biblia|Biblia
big dave|Big Dave
big fish|Gros poisson
big frog|Big frog
big rat|Big rat
big snake|Big Snake
big wolf|Big Wolf
bigredjapan|BigRedJapan
biles|Biles
bill|Bill
bill teach|Bill Teach
billam|Billam
billy|Billy
billy goat|Billy Goat
billy rehnison|Billy Rehnison
billy, a guard of falador|Billy, un garde de Falador
bird|Oiseau
bjorn|Bjorn
black bear|Ours noir
black cat|Chat noir
black chinchompa|Chinchompa noir
black demon|Démon noir
black dragon|Dragon noir
