Hello?|Allô ?
Hey, I started the conversation!|Hé, c'est moi qui ai lancé la conversation !
No you didn't. Get out of my spell!|Non, ce n'est pas vrai. Sors de mon sort !
No! Get out of my spell!|Non ! Sors de mon sort !
Cry-baby.|Pleurnichard.
What! I'm no cry-baby, you cry-baby!|Quoi ! Je ne suis pas un pleurnichard, c'est toi le pleurnichard !
I'm reporting you!|Je vais te dénoncer !
Oh, how scary!|Oh, quelle horreur !
Idiot.|Idiot.
Welcome to the Emir's Arena! Are you interested in 1v1 Tournaments? We organise ranked Tournaments here, or alternatively you can organise your own unranked Tournaments.|Bienvenue dans l'arène de l'émir ! Les tournois 1 contre 1 t'intéressent ? Nous organisons ici des tournois classés, mais tu peux aussi organiser tes propres tournois non classés.
Select an Option|Sélectionne une option
What's a 1v1 Tournament?|Qu'est-ce qu'un tournoi 1 contre 1 ?
A group of fighters is divided into pairs of opponents, and they all fight their opponent. The winners of those fights proceed to the next round, where they're divided into pairs, and they each fight their new opponent.|Un groupe de combattants est divisé en paires d'adversaires, et chacun combat son adversaire. Les vainqueurs de ces combats passent au tour suivant, où ils sont répartis en paires et affrontent chacun leur nouvel adversaire.
The number of surviving fighters is halved each time, until eventually only one person is left standing. They're the winner of the Tournament.|Le nombre de combattants survivants est divisé par deux à chaque fois, jusqu'à ce qu'il ne reste plus qu'une seule personne debout. Celle-ci est déclarée vainqueur du tournoi.
Ranked or unranked? What does that mean?|Classé ou non classé ? Qu'est-ce que cela signifie ?
Everyone has a rank. It's meant to indicate how good they are at fighting, compared to other people.|Tout le monde a un classement. Il sert à indiquer le niveau de compétence au combat de chaque joueur par rapport aux autres.
In ranked fights, the winners gain rank and the losers lose rank. The Arena staff will decide who'll be fighting in each ranked Tournament, and send the invitations.|Dans les combats classés, les gagnants gagnent des points et les perdants en perdent. Le personnel de l'arène décidera qui participera à chaque tournoi classé et enverra les invitations.
But if you just want some casual fun, you can have an unranked Tournament, where no-one gains or loses rank. You can organise your own unranked Tournament, and decide for yourself who'll fight in it.|Mais si vous voulez simplement vous amuser, vous pouvez organiser un tournoi non classé, où personne ne gagne ni ne perd de points. Vous pouvez organiser votre propre tournoi non classé et décider vous-même qui y participera.
Only the ranked fights offer access to the other rewards of the Arena.|Seuls les combats classés donnent accès aux autres récompenses de l'arène.
How do I get invited into a Tournament?|Comment puis-je être invité à un tournoi ?
You'll need to sign up to a recruitment group...|Vous devez vous inscrire à un groupe de recrutement...
This is the icon for the Grouping tab. Within it you'll find the PvP Arena options.|Voici l'icône de l'onglet « Groupes ». Vous y trouverez les options de l'arène PvP.
You can carry on with your adventures while you're waiting for a Tournament to begin, since it may be a while before suitable fighters are available.|Vous pouvez poursuivre vos aventures en attendant le début d'un tournoi, car il se peut que vous deviez patienter un certain temps avant que des combattants appropriés soient disponibles.
I want to organise my own Tournament.|Je souhaite organiser mon propre tournoi.
Just use my Recruitment Board here to form your own recruitment group. Once you've got one, wait for other fighters to join it.|Il vous suffit d'utiliser mon tableau de recrutement ici pour former votre propre groupe de recrutement. Une fois que vous en avez un, attendez que d'autres combattants le rejoignent.
Okay, goodbye.|D'accord, au revoir.
I'm okay, thanks.|Ça va, merci.
From the south side|Depuis le côté sud
From the north side|Depuis le côté nord
Are you all right?|Tout va bien ?
Who goes there?|Qui va là ?
Arr! A landlubber!|Arrr ! Un marin d'eau douce !
Begone afore I take my cutlass to ye! I've been charged with guardin' this gate and no noodle-armed landlubbers will make it past me alive!|Va-t'en avant que je ne te passe ma sabre sous la gorge ! J'ai été chargé de garder cette porte et aucun marin d'eau douce armé d'une nouille ne passera devant moi vivant !
That's not a cutlass.|Ce n'est pas un sabre.
I think it's a twig.|Je pense que c'est une brindille.
Ye cheeky begger! I was wavin' my finger at ye!|Espèce d'insolent ! Je te faisais signe avec mon doigt !
All right...|D'accord...
Arrr... just 'cos me body happens to be 50% wood does not mean I'm heartless.|Arrr... ce n'est pas parce que mon corps est composé à 50 % de bois que je n'ai pas de cœur.
I got a bag of 'em here. Wanna see?|J'en ai un sac plein ici. Tu veux voir ?
I think I'll pass.|Je pense que je vais passer mon tour.
What happened to you?|Que t'est-il arrivé ?
That be a tale so heart-wrenchin' that it has so far wrenched the hearts from over a dozen sturdier men than thee!|C'est une histoire si déchirante qu'elle a déjà brisé le cœur de plus d'une douzaine d'hommes plus robustes que toi !
A tale of such woe that none but the stoniest hearts can hear it without sheddin' a single, poignant tear...|Une histoire si triste que seuls les cœurs les plus endurcis peuvent l'entendre sans verser une seule larme poignante...
And I'll never tell ye, not even if ye wore an item, such as a ring, with powers of mind control!|Et je ne te la raconterai jamais, même si tu portais un objet, tel qu'une bague, doté de pouvoirs de contrôle mental !
What if I said please?|Et si je te disais « s'il te plaît » ?
Hmmmm...well alright...|Hmmmm... bon, d'accord...
Wait, no!|Attends, non !
Get goin' landlubber before I take my splintery foot to yer behind!|Va-t'en, marin d'eau douce, avant que je ne te donne un coup de pied dans les fesses !
Well ye seem like a [lad/lass] that can handle such a tale...so I'll tell ye...|Tu sembles être un [garçon/fille] capable de supporter une telle histoire... alors je vais te la raconter...
Well, it all starts with this albatross...|Tout commence avec cet albatros...
Wait, never mind, I'll skip forward a bit.|Attends, peu importe, je vais passer à la suite.
Are you sure?|Tu es sûr ?
I have to [lad/lass], Cap'n Donnie will flay what little is left of me if I told ye.|Je dois le faire, mon garçon/ma fille, le capitaine Donnie m'écorchera vif s'il apprend que je t'ai tout raconté.
But anyway, I got recruited to the zombie pirates along with the rest of the crew in an unspecified incident involvin this albatross.|Quoi qu'il en soit, j'ai été recruté par les pirates zombies avec le reste de l'équipage lors d'un incident non spécifié impliquant cet albatros.
We was sailin' along happily, and I was partakin' of a little 'rum' in the crows nest.|Nous naviguions joyeusement, et je dégustais un peu de rhum dans le nid-de-pie.
Well, we hit either a really rough wave or some rocks.|Eh bien, nous avons heurté soit une vague très forte, soit des rochers.
Twas kind of hard for me to tell which, as I was well out of it by then!|Difficile à dire pour moi, car j'étais déjà bien éméché à ce moment-là !
Regardless I toppled from the crows nest into the water.|Quoi qu'il en soit, je suis tombé du nid-de-pie dans l'eau.
Is that how you got so badly injured?|C'est comme ça que tu t'es gravement blessé ?
No [lad/lass]!|Non !
What happened next was that I discovered a new, previously uncharted reef of hard, spiky coral.|Ce qui s'est passé ensuite, c'est que j'ai découvert un nouveau récif de corail dur et pointu, jusqu'alors inconnu.
I made a mental note of its location, and to this day it is still marked on our fleet's charts as Lukes Reef.|J'ai mémorisé son emplacement, et aujourd'hui encore, il est indiqué sur les cartes de notre flotte sous le nom de Lukes Reef.
I managed to grab a hold of our ship, the Inebriated, as it passed overhead.|J'ai réussi à m'agripper à notre navire, l'Inebriated, alors qu'il passait au-dessus de moi.
And then I discovered another, taller, spikier reef of even sharper and more painful coral.|Puis j'ai découvert un autre récif, plus haut et plus épineux, avec des coraux encore plus acérés et douloureux.
To this day it is still marked on our fleet's charts as The Other 50% Reef.|Aujourd'hui encore, il est indiqué sur les cartes de notre flotte sous le nom de The Other 50% Reef.
Owwwwwwwww...|Aïe...
It gets worse...|Mais ce n'est pas tout...
When they hauled what was left of me on deck, they dropped me onto the floor while they decided what to do with me.|Quand ils ont hissé ce qui restait de moi sur le pont, ils m'ont laissé tomber par terre pendant qu'ils décidaient quoi faire de moi.
Bear in mind this would be on a ghost ship, the planks of which sweat a thick mixture of stagnant water...and pure salt crystals.|N'oubliez pas que nous étions sur un bateau fantôme, dont les planches suintaient un mélange épais d'eau stagnante... et de cristaux de sel purs.
Oh...my...god...|Oh... mon... Dieu...
But on the good side, all my thrashin' and pained squealin' settled the matter in the Captain's mind, and he had the shipwright carve me half a body out of his Witchwood Planks.|Mais le bon côté, c'est que mes convulsions et mes cris de douleur ont convaincu le capitaine, et il a demandé au charpentier de me sculpter la moitié d'un corps à partir de ses planches de bois de sorcière.
Witchwood? What's that?|Du bois de sorcière ? Qu'est-ce que c'est ?
Tis a special, magical wood from a now extinct tree.|C'est un bois spécial et magique provenant d'un arbre aujourd'hui disparu.
Once they nailed it all in place the stuff moves like it is part of me body.|Une fois qu'ils l'ont cloué en place, il bouge comme s'il faisait partie de mon corps.
The stuff will also grow back if it breaks, which is dead handy!|Il repousse également s'il se casse, ce qui est très pratique !
Wow, that stuff must be very valuable!|Waouh, ce bois doit avoir beaucoup de valeur !
Arr! That it be!|Arr ! C'est vrai !
So, that be the tale of how I managed to lose precisely 50% of my body.|Voilà donc comment j'ai réussi à perdre exactement 50 % de mon corps.
There there.|Allons, allons.
So how flammable are you?|À quel point es-tu inflammable ?
What kind of a question is that?|C'est quoi cette question ?
A rather rude, personal one?|Une question plutôt grossière et personnelle ?
Ye've got that right!|Tu as raison !
I'll soon have you out of the way! Burn!|Je vais bientôt te faire disparaître ! Brûle !
The player does the tinderbox lighting animation.|Le joueur effectue l'animation d'allumage de l'amadou.
Don't make me angry! Ye'll not like me when I'm angry!|Ne me mets pas en colère ! Tu ne m'aimeras pas quand je suis en colère !
The screen turns black and a message appears saying "One 500 hit combo later..."|L'écran devient noir et un message apparaît disant « Un combo de 500 coups plus tard... ».
Let that be a lesson to ye!|Que cela te serve de leçon !
My world is an ocean of paaaain!|Mon monde est un océan de douleur !
So what is going on here anyway?|Mais qu'est-ce qui se passe ici, au juste ?
Ye expect me to talk?|Tu t'attends à ce que je parle ?
No Mr. Luke, I expect you to die!|Non, M. Luke, je m'attends à ce que tu meures !
Hah! I'm one step ahead of ye!|Ha ! J'ai une longueur d'avance sur toi !
Egad, outsmarted by the man with the wooden brain.|Bon sang, je me suis fait avoir par un homme au cerveau de bois.
But seriously, what is going on here?|Mais sérieusement, qu'est-ce qui se passe ici ?
I can't tell ye [lad/lass].|Je ne peux pas te le dire, mon garçon/ma fille.
The Cap'n would have me whittled down to toothpicks if I did.|Le capitaine me réduirait en copeaux si je le faisais.
Well if you can't tell me, perhaps you could show me through the medium of Interpretive Dance?|Eh bien, si vous ne pouvez pas me le dire, vous pourriez peut-être me le montrer par le biais de la danse expressive ?
No. Just...no.|Non. Juste... non.
Mime?|Le mime ?
Look, [lad/lass] I'm not tellin' ye a thing! So clear out while ye still can!|Écoutez, [mon garçon/ma fille], je ne vous dirai rien ! Alors partez tant que vous le pouvez encore !
Starts above from "I'll soon have you out of the way! Burn!"|Commence ci-dessus à partir de « Je vais bientôt te faire disparaître ! Brûle ! »
Arr! Tryin' ter get away eh? Well ye'll never sneak past me, I'm the best lookout this crew has ever seen!|Arr ! Tu essaies de t'enfuir, hein ? Eh bien, tu ne passeras jamais devant moi, je suis le meilleur guetteur que cet équipage ait jamais vu !
Who's that making faces behind you?|Qui fait des grimaces derrière toi ?
That is the most amazing thing I have ever seen!|C'est la chose la plus incroyable que j'ai jamais vue !
Is that your distraction?|C'est ça, ta diversion ?
Who is that behind you?|Qui est derrière toi ?
Hey you! Look over there!|Hé, toi ! Regarde là-bas !
Oh my! Is that a genuine 3rd Age Diversion?|Oh là là ! Est-ce que c'est une véritable diversion du 3e âge ?
Oh my! Is that a genuine 3rd Age Diversion?|Oh là là ! Est-ce une véritable diversion du 3e âge ?
Where?|Où ça ?
Hey! What are you doing out there?|Hé ! Qu'est-ce que tu fais là-bas ?
Nothing.|Rien.
Well Cap'n Donnie said no livin' landlubbers were allowed out of the compound.|Eh bien, le capitaine Donnie a dit qu'aucun terrien vivant n'était autorisé à sortir de l'enceinte.
So get yerself back in here, or yer for it!|Alors rentre ici, ou tu vas le regretter !
Greetings traveller.|Salutations, voyageur.
Can you heal me? I'm injured.|Pouvez-vous me soigner ? Je suis blessé.
Ok.|D'accord.
Abbot Langley places his hands on your head. You feel a little better.|L'abbé Langley pose ses mains sur votre tête. Vous vous sentez un peu mieux.
Isn't this place built a bit out of the way?|Cet endroit n'est-il pas un peu isolé ?
We like it that way actually! We get disturbed less. We still get rather a large amount of travellers looking for sanctuary and healing here as it is!|En fait, c'est ce qui nous plaît ! Nous sommes moins dérangés. Nous recevons déjà beaucoup de voyageurs qui viennent ici pour trouver refuge et guérison !
How do I get further into the monastery?|Comment puis-je aller plus loin dans le monastère ?
I'm sorry but only members of our order are allowed in the second level of the monastery.|Je suis désolé, mais seuls les membres de notre ordre sont autorisés à accéder au deuxième niveau du monastère.
Well can I join your order?|Puis-je rejoindre votre ordre ?
No. I am sorry, but I feel you are not devout enough.|Non. Je suis désolé, mais je pense que vous n'êtes pas assez dévoué.
You need a prayer level of 31 to join the order.|Vous devez avoir un niveau de prière de 31 pour rejoindre l'ordre.
Ok, I see you are someone suitable for our order. You may join.|D'accord, je vois que vous êtes quelqu'un qui convient à notre ordre. Vous pouvez nous rejoindre.
Oh, sorry.|Oh, désolé.
I might be able to... What did you have in mind?|Je pourrais peut-être... À quoi pensiez-vous ?
Can you remove the sigils from my spirit shields?|Pouvez-vous retirer les sigils de mes boucliers spirituels ?
I think I shoud be able to manage that. However in doing so, I'm afraid I'll have to destroy the blessed shield itself. You'll only get the sigil back.|Je pense que je devrais pouvoir le faire. Cependant, pour cela, je crains de devoir détruire le bouclier béni lui-même. Vous ne récupérerez que le sigil.
I can go ahead and break down all of the shields in your inventory now if you'd like?. [ sic ]|Je peux détruire tous les boucliers de votre inventaire dès maintenant si vous le souhaitez. [sic]
Abbot Langley carefully breaks each shield, leaving the sigils perfectly intact.|L'abbé Langley détruit soigneusement chaque bouclier, laissant les sigils parfaitement intacts.
Not right now.|Pas maintenant.
Only members of our order can go up there.|Seuls les membres de notre ordre peuvent monter là-haut.
Oh, sorry. Oh, sorry.|Oh, désolé. Oh, désolé.
Ah, I was told to expect you, please take this as thanks!|Ah, on m'avait prévenu de votre venue, veuillez accepter ceci en guise de remerciement !
Congratulations, traveller!|Félicitations, voyageur !
You've obtained a casket!|Vous avez obtenu un coffret !
Abbot Langley has given you another clue scroll!|L'abbé Langley vous a donné un autre parchemin d'indice !
Hey, I have something for you but you don't have any space for it!|Hé, j'ai quelque chose pour vous, mais vous n'avez pas de place pour le mettre !
Here you go.|Tenez.
You are handed a torn part of a clue scroll.|On vous remet un morceau déchiré d'un parchemin d'indice.
I must say, I despise the equipment you have chosen to wear.|Je dois dire que je méprise l'équipement que vous avez choisi de porter.
I've got a message for you from your friend in Draynor Village.|J'ai un message pour vous de la part de votre ami du village de Draynor.
Gosh, you are very kind to bring a message to my remote monastery!|Vous êtes très gentil d'avoir apporté un message à mon monastère isolé !
I'd give you a reward, but you don't seem to have any space for it. Come back when you do.|Je vous donnerais bien une récompense, mais vous ne semblez pas avoir de place pour la ranger. Revenez quand vous en aurez.
Abbot Langley gives you some banknotes that can be exchanged for herbs.|L'abbé Langley vous donne des billets de banque qui peuvent être échangés contre des herbes.
I grow a few herbs in my little cabbage patch; please take some as a sign of my gratitude.|Je cultive quelques herbes dans mon petit potager ; prenez-en quelques-unes en signe de ma gratitude.
Abbot Langley blesses you. You gain some prayer xp.|L'abbé Langley vous bénit. Vous gagnez de l'expérience de prière.
Allow me to bestow on you Saradomin's blessings...|Permettez-moi de vous accorder les bénédictions de Saradomin...
Grr ... Get out of my way...|Grr... Hors de mon chemin...
Hello there...|Bonjour...
Ahhh, hello there my friend. You look like you could do with some assistance.|Ahhh, bonjour mon ami. Vous semblez avoir besoin d'aide.
We do?|Vraiment ?
Yes, of course... Here, prepare yourselves!|Oui, bien sûr... Tenez, préparez-vous !
Abidor blesses the player, boosting their defence and turning any rotten food into stews.|Abidor bénit le joueur, renforçant sa défense et transformant toute nourriture avariée en ragoût.
There you go... Right, I must be off now. Good luck with your travels.|Voilà... Bon, je dois y aller maintenant. Bonne chance pour votre voyage.
Ohhh, hello again... sorry my friend, but I have to get going.|Ohhh, bonjour à nouveau... désolé mon ami, mais je dois y aller.
A good samaritan teleports you out of Morytania.|Un bon samaritain vous téléporte hors de Morytania.
Well, this is no good at all! You'll never survive in Morytania, you'll have to go back.|Eh bien, ce n'est pas bon du tout ! Vous ne survivrez jamais à Morytania, vous devez y retourner.
The player is teleported to Paterdomus.|Le joueur est téléporté à Paterdomus.
What can I help you with, dear?|En quoi puis-je vous aider, ma chère ?
Who are you and what are you doing?|Qui êtes-vous et que faites-vous ici ?
I'm Abigaila, from Morytania. It's a terrible place, run by the vampyres. They visit the towns and collect everyone's blood for food!|Je m'appelle Abigaila, je viens de Morytania. C'est un endroit terrible, dirigé par les vampires. Ils visitent les villes et collectent le sang de tout le monde pour se nourrir !
I tried for years to escape, with my son, Suro, to make a better life for ourselves in Misthalin. I scraped together enough money to bribe a boatman to get us out.|J'ai essayé pendant des années de m'échapper avec mon fils, Suro, pour nous construire une vie meilleure à Misthalin. J'ai rassemblé assez d'argent pour soudoyer un batelier afin qu'il nous fasse sortir du pays.
The journey was tough. Some men in pink hoods attacked our boat, shouting at us to go back where we belonged, and to keep out of their country. In the struggle, the boat overturned.|Le voyage a été difficile. Des hommes vêtus de capuches roses ont attaqué notre bateau, nous criant de retourner d'où nous venions et de rester hors de leur pays. Dans la bagarre, le bateau a chaviré.
It was dark, and I couldn't find Suro in the water. I swam as deep as I could, until my lungs screamed, but I couldn't find him. He wasn't good at swimming.|Il faisait nuit et je ne trouvais pas Suro dans l'eau. J'ai nagé aussi profondément que possible, jusqu'à en avoir les poumons en feu, mais je ne l'ai pas trouvé. Il ne savait pas bien nager.
Eventually I got myself to the shore. The sun was rising, and I found Suro there. On the shore, where the water had dumped his... body.|J'ai fini par atteindre la rive. Le soleil se levait et j'ai trouvé Suro là-bas. Sur la rive, là où l'eau avait rejeté son... corps.
*sob*|*sanglot*
I've done alright in Misthalin, I guess. I know a bit of magic, and the local gentry pay me well for my scrying skills. I'm good at turning a profit on Grand Exchange trades too.|Je m'en suis bien sorti à Misthalin, je suppose. Je connais un peu la magie, et la noblesse locale me paie bien pour mes talents de voyance. Je suis également doué pour faire des profits grâce aux échanges au Grand Marché.
Anyway, I'm able to rent a room in Lumbridge, and to buy food. I'm not being a burden on anyone, and there are no vampyres coming for my blood.|Quoi qu'il en soit, je peux louer une chambre à Lumbridge et acheter de la nourriture. Je ne suis un fardeau pour personne, et aucun vampire ne vient me sucer le sang.
I am free!|Je suis libre !
But I haven't forgotten my people in the east. There's one vampyre there who runs a place she calls the Theatre of Blood, challenging humans to face monsters in her arena.|Mais je n'ai pas oublié mon peuple à l'est. Il y a là-bas une vampire qui dirige un endroit qu'elle appelle le Théâtre du Sang, où elle met les humains au défi d'affronter des monstres dans son arène.
My husband went there, trying to win freedom from the blood-gatherers by surviving her arena, but he never returned. No-one does.|Mon mari s'y est rendu, dans l'espoir de gagner sa liberté auprès des collecteurs de sang en survivant à son arène, mais il n'est jamais revenu. Personne n'en revient.
So now I pass my spare time scrying on the Theatre of Blood, watching other adventurers there. You can have a look, if you like.|Alors maintenant, je passe mon temps libre à scruter le Théâtre du Sang, à observer les autres aventuriers qui s'y trouvent. Vous pouvez jeter un œil, si vous le souhaitez.
I'd like to look in your scrying ball.|J'aimerais regarder dans votre boule de cristal.
I'm afraid I can't let you use my scrying ball now, dear. Clear out everything you're carrying, and make sure you're not sick or poisoned.|Je crains de ne pas pouvoir vous laisser utiliser ma boule de cristal pour l'instant, ma chère. Débarrassez-vous de tout ce que vous transportez et assurez-vous que vous n'êtes pas malade ou empoisonnée.
