Cook's Assistant|Assistant cuisinier
Demon Slayer|Tueur de démons
The Restless Ghost|Le fantôme agité
Romeo & Juliet|Roméo et Juliette
Sheep Shearer|Tondeur de moutons
Shield of Arrav|Bouclier d'Arrav
Ernest the Chicken|Ernest le poulet
Vampyre Slayer|Tueur de vampires
Imp Catcher|Chasseur de diablotins
Prince Ali Rescue|Sauvetage du prince Ali
Doric's Quest|Quête de Doric
Black Knights' Fortress|Forteresse des chevaliers noirs
Witch's Potion|Potion de sorcière
The Knight's Sword|Épée du chevalier
Goblin Diplomacy|Diplomatie gobeline
Pirate's Treasure|Trésor des pirates
Rune Mysteries|Mystères runiques
Misthalin Mystery|Mystère de Misthalin
The Corsair Curse|La malédiction du corsaire
X Marks the Spot|X marque l'endroit
Below Ice Mountain|Sous la montagne de glace
Tutorial Island|Île du tutoriel
Druidic Ritual|Rituel druidique
Lost City|Cité perdue
Witch's House|Maison de la sorcière
Merlin's Crystal|Cristal de Merlin
Heroes' Quest|Quête des héros
Scorpion Catcher|Chasseur de scorpions
Family Crest|Armoiries familiales
Tribal Totem|Totem tribal
Fishing Contest|Concours de pêche
Monk's Friend|L'ami du moine
Temple of Ikov|Temple d'Ikov
Clock Tower|Tour de l'horloge
Holy Grail|Saint Graal
Tree Gnome Village|Village des gnomes des arbres
Fight Arena|Arène de combat
Hazeel Cult|Culte de Hazeel
Sheep Herder|Berger
Plague City|La ville pestiférée
Sea Slug|Limace de mer
Waterfall Quest|Quête de la cascade
Biohazard|Risque biologique
Jungle Potion|Potion de la jungle
The Grand Tree|Le Grand Arbre
Shilo Village|Village de Shilo
Underground Pass|Passage souterrain
Observatory Quest|Quête de l'observatoire
The Tourist Trap|Le piège à touristes
Watchtower|Tour de guet
Dwarf Cannon|Canon nain
Murder Mystery|Mystère meurtrier
The Dig Site|Le site de fouilles
Gertrude's Cat|Le chat de Gertrude
Legends' Quest|Quête des légendes
Big Chompy Bird Hunting|Chasse au grand oiseau carnivore
Elemental Workshop I|Atelier élémentaire I
Priest in Peril|Prêtre en péril
Nature Spirit|Esprit de la nature
Death Plateau|Plateau de la mort
Troll Stronghold|Forteresse des trolls
